Item,Price
Агат,"900
"
Агатовый кулон,"439
"
Аквамарин,"1000
"
Алаитское ожерелье,"22500
"
Алмаз,"28500
"
Альфа-бур,"3999
"
Амальгама,"1199
"
Аметист,"6990
"
Анкх,"7000
"
Белая глина,"380
"
Белая жемчужина,"1000
"
Белая трава,"100
"
Белое перо,
Белок,"880
"
Белый гриб,"1000
"
Белый песок,"200
"
Бледная поганка,"999
"
Болт,"1695
"
Брюшко филлера,"225
"
Бубен,"16300
"
Ветвь энта,"470
"
Ветка шипованного куста,"220
"
Ветки тростника,"600
"
Волчий клык,
Волшебное зеркальце,
Вытяжка из листьев гиома,
Газ-клапан,"183
"
Гайка,"11000
"
Гвоздь,
Гиацинт,"1440
"
Гибкие жилы,"2800
"
Гибкий зубной нерв,"12788
"
Глаз Гарма,"1140
"
Глаз богомола,"55
"
Глаз злобоглаза,"1480
"
Глаз змеи,"1998
"
Глаз камнееда,"1210
"
Глаза ночной жужи,
Гоблинский бумеранг,
Голова снегобея,"1825
"
Голубая щелочь,"1300
"
Горный хрусталь,"900
"
Гранат,"3990
"
Гранит,"1750
"
Гриб Волчанка,"991
"
Грибница,"349
"
Густой сок,"1000
"
Диетическое зерно,"50
"
Дикий кристалл,"1200
"
Договор с Остином,"4798
"
Древесная шляпа,"555
"
Древесник,"1500
"
Душа пламени,"2000
"
Дьявольские рога,"10666
"
Дьявольские рожки,"166
"
Едкая кислота,"199
"
Елочные игрушки,"7500
"
Жаберный клапан,"101
"
Жало осы,"120
"
Жало скорпиона,"1000
"
Жгучее щупальце,"3700
"
Желатин,"300
"
Желе,
Железное сердце,
Железный хлам,"800
"
Жетон Чистильщика,"60000
"
Жетон дуаноборца,
Живой лед,"1980
"
Желтая трава,"950
"
Заклинившая бомба,"5000
"
Закрученный рог,"8900
"
Защитная пластина,"2220
"
Звездная пыль,"499
"
Зеленорост,"4699
"
Зеленая конфетная обертка,
Зеленая слизь,"550
"
Зеленая трава,"50
"
Зеленый мох,
Зеркальный амулет,"20000
"
Зеркальный осколок,"10000
"
Змеиная кожа,"75
"
Золотая фольга,
Золотое копыто,"1459
"
Золотой браслет,"45
"
Золотой зуб,"900
"
Золотой скарабей,"3659
"
Зубной нерв,"695
"
Игральные кости,"2035
"
Изумруд,"5909
"
Икра хваги,"1442
"
Индевень,"2194
"
Искристая слизь,"939
"
Истлевшие бинты,"501
"
Какао-порошок,"100
"
Каменная кожа,"600
"
Каменная кость,"600
"
Каменное сердце,"14500
"
Кандалы,"1499
"
Канифоль,"1000
"
Капля смолы,"320
"
Кварц,"10499
"
Кедровая шишка,"998
"
Киноварь,"4000
"
Клевер,"1111
"
Клешня краба,"150
"
Клешня скорпиона,"105
"
Клубень зеленороста,"1000
"
Клубок паутины,"90
"
Клык оборотня,"100
"
Клык орка,"220
"
Клыки летучей мыши,"3000
"
Коготь оборотня,"150
"
Копыто,"3000
"
Корень мандрагоры,"390
"
Корень мункуса,"3999
"
Корень толстоцвета,"1900
"
Корешок Эльтана,"700
"
Кость скелета,"150
"
Костяное оперение,"1398
"
Красивое перо,"2298
"
Красная конфетная обертка,
Красный коралл,"9000
"
Красный цветок,"50
"
Кристалл крови,
Кровавый договор,"9400
"
Кровь нетопыря,"250
"
Кровь оборотня,"1000
"
Крупица моземия,"200
"
Крупный желудь,"1250
"
Крылья летучей мыши,
Крысиная шкура,"15
"
Крысиный хвост,"990
"
Кукум,
Куски кремния,"700
"
Кусок мяса,"70
"
Кучка старой пыли,"27900
"
Ледовый серпантин,"999
"
Ледяное серебро,"20000
"
Летучий мешок,"969
"
Липкое волокно,"740
"
Лист толстоцвета,"995
"
Ловец зимних снов,
Лягушачья икра,"348
"
Манипулятор,"3999
"
Маска шамана,"750
"
Масленка,"320
"
Медальон жажды,"19575
"
Медальон страсти,"2690
"
Медная трубка,"995
"
Медный браслет,
Мембрана,"8999
"
Мерцающая пыльца,"490
"
Мерцающий мох,"470
"
Мискорианское масло,
Молодые одуванчики,"2500
"
Морион,"9899
"
Морская тина,"450
"
Морской Орех,"890
"
Мука,"100
"
Муравьиная кислота,"200
"
Муравьиные усики,"350
"
Мухомор,
Мягкая шерсть,
Мясо варана,"999
"
Мясо древней улитки,"300
"
Мясо змеи,"750
"
Мясо одуванчика,"1199
"
Мясо островной улитки,"100
"
Мясо снежной жужи,"4666
"
Мясо улитки,"16
"
Мед ройлера,"180
"
Набор цветных контактов,"450
"
Нектар полевых цветов,
Нефрит,"6999
"
Обломок ножа,"50
"
Обыканская морошка,"3000
"
Огненная искра,"250
"
Огнеупорная чешуя,"27500
"
Опал,"3000
"
Оранжевая конфетная обертка,
Орбитула,"888
"
Осколок звезды,"8999
"
Осколок раковины,"84
"
Осколок хрустальной реки,"1050
"
Остролист,"1724
"
Острые жвалы,"240
"
Отловленный керок,
Ошейник вальдерстая,"6997
"
Панцирь железной жужи,"400
"
Панцирь жужи,"380
"
Панцирь мерцающей жужи,"4444
"
Панцирь северной жужи,"450
"
Панцирь снегобея,"29440
"
Панцирь ядовитого таракана,"490
"
Пеньковая трава,"48
"
Пепел огненного элементаля,"2000
"
Перепонка,"2400
"
Перстень стража,"4999
"
Пещерная соль,"7499
"
Платье Алисы,"1945
"
Плоды Упрямки,"1000
"
Позвонок,"36000
"
Полено,"200000
"
Ползучее корневище,
