Item,Price
Агат,"900
"
Агатовый кулон,"400
"
Аквамарин,"950
"
Алаитское ожерелье,"22500
"
Алмаз,"25000
"
Альфа-бур,"3700
"
Амальгама,"1199
"
Аметист,"6990
"
Анкх,"7000
"
Белая глина,"389
"
Белая жемчужина,"1000
"
Белая трава,"100
"
Белое перо,
Белок,"1200
"
Белый гриб,"2900
"
Белый песок,"200
"
Бледная поганка,"999
"
Болт,"1000
"
Брюшко филлера,"225
"
Бубен,"16300
"
Ветвь энта,"470
"
Ветка шипованного куста,"229
"
Ветки тростника,"600
"
Волчий клык,
Волшебное зеркальце,
Вытяжка из листьев гиома,
Газ-клапан,"183
"
Гайка,"10000
"
Гвоздь,"5000
"
Гиацинт,"1435
"
Гибкие жилы,"2800
"
Гибкий зубной нерв,"12600
"
Глаз Гарма,"1140
"
Глаз богомола,"55
"
Глаз злобоглаза,"1250
"
Глаз змеи,"1998
"
Глаз камнееда,"1700
"
Глаза ночной жужи,"3500
"
Гоблинский бумеранг,
Голова снегобея,"1829
"
Голубая щелочь,"1200
"
Горный хрусталь,"900
"
Гранат,"3990
"
Гранит,"1700
"
Гриб Волчанка,"991
"
Грибница,"349
"
Густой сок,"1000
"
Диетическое зерно,"50
"
Дикий кристалл,"1689
"
Договор с Остином,"4798
"
Древесная шляпа,"500
"
Древесник,"1500
"
Душа пламени,"2000
"
Дьявольские рога,"10666
"
Дьявольские рожки,"166
"
Едкая кислота,"199
"
Елочные игрушки,"7500
"
Жаберный клапан,"350
"
Жало осы,"899
"
Жало скорпиона,"1500
"
Жгучее щупальце,"5000
"
Желатин,"300
"
Желе,
Железное сердце,"14000
"
Железный хлам,"1337
"
Жетон Чистильщика,"60000
"
Жетон дуаноборца,
Живой лед,"1500
"
Желтая трава,"950
"
Заклинившая бомба,"4700
"
Закрученный рог,"8700
"
Защитная пластина,"2220
"
Звездная пыль,"499
"
Зеленорост,"4595
"
Зеленая конфетная обертка,
Зеленая слизь,"980
"
Зеленая трава,"100
"
Зеленый мох,
Зеркальный амулет,"20000
"
Зеркальный осколок,"10000
"
Змеиная кожа,"75
"
Золотая фольга,
Золотое копыто,"1459
"
Золотой браслет,"45
"
Золотой зуб,"900
"
Золотой скарабей,"3659
"
Зубной нерв,"695
"
Игральные кости,"2025
"
Изумруд,"6098
"
Икра хваги,"1442
"
Индевень,"2193
"
Искристая слизь,"939
"
Истлевшие бинты,"501
"
Какао-порошок,
Каменная кожа,"800
"
Каменная кость,"600
"
Каменное сердце,"28500
"
Кандалы,"1400
"
Канифоль,"1000
"
Капля смолы,"320
"
Кварц,"10395
"
Кедровая шишка,"998
"
Киноварь,"3999
"
Клевер,"3000
"
Клешня краба,"150
"
Клешня скорпиона,"105
"
Клубень зеленороста,"900
"
Клубок паутины,"90
"
Клык оборотня,"100
"
Клык орка,"220
"
Клыки летучей мыши,
Коготь оборотня,"150
"
Копыто,"3000
"
Корень мандрагоры,"390
"
Корень мункуса,"3999
"
Корень толстоцвета,"1900
"
Корешок Эльтана,"700
"
Кость скелета,"150
"
Костяное оперение,"1300
"
Красивое перо,"1999
"
Красная конфетная обертка,
Красный коралл,"9000
"
Красный цветок,"50
"
Кристалл крови,
Кровавый договор,"8800
"
Кровь нетопыря,"390
"
Кровь оборотня,"300
"
Крупица моземия,"200
"
Крупный желудь,"1250
"
Крылья летучей мыши,
Крысиная шкура,"150
"
Крысиный хвост,"1490
"
Кукум,
Куски кремния,"2500
"
Кусок мяса,"70
"
Кучка старой пыли,"26999
"
Ледовый серпантин,"2898
"
Ледяное серебро,"20000
"
Летучий мешок,"969
"
Липкое волокно,"650
"
Лист толстоцвета,"995
"
Ловец зимних снов,
Лягушачья икра,"348
"
Манипулятор,"3999
"
Маска шамана,"750
"
Масленка,"320
"
Медальон жажды,"18000
"
Медальон страсти,"2500
"
Медная трубка,"995
"
Медный браслет,
Мембрана,"8999
"
Мерцающая пыльца,"490
"
Мерцающий мох,"470
"
Мискорианское масло,
Молодые одуванчики,"1500
"
Морион,"9800
"
Морская тина,"499
"
Морской Орех,"900
"
Мука,
Муравьиная кислота,"291
"
Муравьиные усики,"450
"
Мухомор,
Мягкая шерсть,"100
"
Мясо варана,"999
"
Мясо древней улитки,"300
"
Мясо змеи,"750
"
Мясо одуванчика,"1290
"
Мясо островной улитки,"100
"
Мясо снежной жужи,"4666
"
Мясо улитки,"16
"
Мед ройлера,"180
"
Набор цветных контактов,"450
"
Нектар полевых цветов,
Нефрит,"6999
"
Обломок ножа,"50
"
Обыканская морошка,"4399
"
Огненная искра,"250
"
Огнеупорная чешуя,"27000
"
Опал,"3000
"
Оранжевая конфетная обертка,
Орбитула,"888
"
Осколок звезды,"7000
"
Осколок раковины,"84
"
Осколок хрустальной реки,"1100
"
Остролист,"1724
"
Острые жвалы,"240
"
Отловленный керок,
Ошейник вальдерстая,"6996
"
Панцирь железной жужи,"350
"
Панцирь жужи,"400
"
Панцирь мерцающей жужи,"4444
"
Панцирь северной жужи,"425
"
Панцирь снегобея,"29400
"
Панцирь ядовитого таракана,"490
"
Пеньковая трава,"48
"
Пепел огненного элементаля,"2000
"
Перепонка,"900
"
Перстень стража,"4900
"
Пещерная соль,"7490
"
Платье Алисы,"1944
"
Плоды Упрямки,"1000
"
Позвонок,"36000
"
Полено,"200000
"
Ползучее корневище,"25000
"
Порох,"666
"
Портативная дубинка,"945
"
Посох сумрачного хаттлера,"8001
"
Прах,"82
"
Присоска,"60
"
Пристрелочный монокуляр,"9980
"
Прозрачные крылышки,"290
"
Проклятая кровь,"250
"
Пружинка,"3650
"
Пупырчатый мозг,"3200
"
Пучок синей шерсти,"26000
"
Пушинка Одуванчика,"280
"
Пыльца песчаной жужи,"105
"
Регулятор снегобея,"3499
"
Речная жемчужина,
Ржавая гайка,"12000
"
